X,Y
0.6361637,8.710755
12.338056,8.220145
7.4039235,6.225033
5.7855687,-1.9134946
2.9321463,5.578218
-5.74065,11.247514
6.8694096,1.6352302
10.546299,3.9313858
6.6058536,9.256109
-2.393477,4.438799
3.7368162,-5.094681
-4.3054876,10.184802
7.896863,5.4467287
19.140757,9.668659
6.6865673,1.7898012
20.146196,12.047569
4.1033525,7.858934
-5.459024,7.51073
2.437842,-5.7108083
14.151967,6.8942685
-0.08063419,12.431344
19.653101,9.7301035
10.500423,9.400229
-6.1407714,6.4582634
9.373296,7.07716
10.023243,4.6977897
13.167053,6.5440106
-3.2214289,10.5699215
7.7018213,4.132037
0.19217387,9.3948765
1.2810676,-6.5605183
20.835554,12.281712
-0.7662072,11.190292
-3.1551917,6.078855
-3.5581555,12.420545
1.4326684,-6.898322
19.326479,11.114735
5.619189,5.1314654
4.3532453,-3.9658082
-2.0575309,5.636288
6.0267053,5.2343645
3.0427024,-3.1325111
14.054455,7.1333804
2.689704,8.24004
-1.3735795,11.013641
3.5019524,5.704594
13.728786,7.21174
13.900177,7.1658697
-0.4604008,9.3521805
1.6313235,9.950902
2.3775666,-5.035745
-1.890753,11.70491
8.712696,7.293493
3.643131,-6.9571133
2.998926,-1.9638362
0.044445623,9.371544
0.6251813,-4.9282846
-6.065254,7.24726
2.9072123,-5.615755
4.6650696,-5.746522
4.119908,-6.227861
3.238082,-6.725731
18.418924,9.554406
12.000141,5.054644
2.362445,8.979806
1.4702603,-3.436944
10.070575,6.2315416
10.274431,10.070131
2.918897,-5.2016745
0.81682473,7.752422
2.5000706,-5.9098
12.783636,7.808722
-3.7314565,10.594218
-1.2523199,13.08381
16.555305,8.931628
6.6117196,2.7181172
8.665094,3.9259245
19.334776,10.722717
16.259281,9.00814
17.723742,8.529103
2.088643,-3.9714048
5.512547,-0.60818434
4.6381907,-1.8629937
-1.1008395,5.1244645
-6.67989,10.419213
6.0077276,9.639572
1.4429708,-3.2746346
3.1915822,9.897515
-2.917778,7.22377
4.1868124,8.800217
4.439996,-5.30725
10.24193,8.883105
10.530981,7.2010965
1.4749725,5.581385
16.613523,7.3997955
-5.661989,5.663949
-4.0599985,5.6488223
7.0120435,4.862789
8.626776,5.071974
-1.8076978,7.421631
8.094657,5.912886
-3.8170207,8.702216
9.99633,5.167749
2.3647342,-2.3527792
13.083676,8.190382
13.123429,5.654694
9.629045,5.821266
-3.3612278,6.71238
-6.720842,8.752283
2.6187723,8.290657
2.4455655,-3.0998816
5.827157,7.9344935
6.340254,-0.34354463
-4.6794367,7.444055
